account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,signup_cohort_m,signup_cohort_q,total_mrr,avg_mrr,max_mrr,sub_count,avg_tenure,any_upgrade,any_downgrade,pct_trial,ticket_count,avg_resolution_hrs,avg_satisfaction,escalation_count,avg_first_response_min,total_usage_events,total_usage_count,avg_duration_min,total_errors,features_used,beta_usage_pct,churn_int
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,0,0,2024-10,2024Q4,12603,1260.3,5771,10,42.7,1,0,0.2,2.0,23.0,3.0,0.0,91.0,55,535,46.16333333333333,38,27,0.0727272727272727,0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,0,1,2023-08,2023Q3,10004,1250.5,5572,8,336.125,1,0,0.0,3.0,38.0,4.0,0.0,73.33333333333333,35,355,48.16,14,23,0.0571428571428571,1
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,0,0,2024-08,2024Q3,18286,1219.0666666666666,5771,15,54.93333333333333,1,1,0.0666666666666666,3.0,43.66666666666666,4.666666666666667,0.0,63.66666666666666,83,821,50.4437751004016,48,34,0.0602409638554216,0
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,1,0,2023-08,2023Q3,9275,1325.0,4776,7,205.57142857142856,1,0,0.1428571428571428,2.0,29.0,,0.0,174.0,41,382,41.678048780487806,21,26,0.1219512195121951,0
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,0,1,2024-10,2024Q4,48761,5417.888888888889,21691,9,34.666666666666664,1,0,0.1111111111111111,7.0,42.285714285714285,3.8,1.0,107.85714285714286,58,579,62.00545977011494,31,32,0.0689655172413793,1
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,0,0,2023-10,2023Q4,16810,1528.1818181818182,6965,11,237.1818181818182,0,0,0.0909090909090909,4.0,43.0,3.0,0.0,74.75,47,457,49.83723404255319,21,28,0.1276595744680851,0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,0,0,2024-03,2024Q1,16633,1848.111111111111,5174,9,143.66666666666666,0,0,0.1111111111111111,6.0,39.16666666666666,3.8,3.0,89.83333333333333,39,373,49.98461538461539,14,26,0.0769230769230769,0
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,0,0,2023-04,2023Q2,13048,1304.8,4179,10,312.1,0,0,0.1,3.0,42.66666666666666,,0.0,57.0,41,382,45.327642276422765,23,29,0.1219512195121951,0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,0,1,2024-09,2024Q3,23057,2305.7,13333,10,61.3,1,0,0.3,4.0,32.5,3.6666666666666665,0.0,75.25,48,472,50.496180555555554,29,27,0.1041666666666666,1
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,0,1,2023-05,2023Q2,8787,1464.5,3383,6,266.8333333333333,1,0,0.1666666666666666,3.0,31.33333333333333,3.5,0.0,71.33333333333333,27,257,45.56666666666666,14,23,0.074074074074074,1
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,0,1,2024-09,2024Q3,32571,1714.2631578947369,8358,19,48.21052631578947,1,1,0.1578947368421052,3.0,32.666666666666664,5.0,0.0,80.66666666666667,101,1053,53.8420792079208,55,38,0.1287128712871287,1
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,0,0,2024-11,2024Q4,43247,4324.7,11741,10,22.7,1,0,0.3,2.0,20.5,5.0,0.0,125.5,55,562,45.51090909090909,22,29,0.0909090909090909,0
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,1,0,2023-04,2023Q2,16242,1353.5,12139,12,247.0,1,0,0.1666666666666666,3.0,40.333333333333336,5.0,1.0,68.33333333333333,64,670,56.58203125,30,30,0.15625,0
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,1,0,2024-01,2024Q1,23432,1952.6666666666667,10348,12,198.91666666666663,1,1,0.1666666666666666,4.0,26.75,4.0,0.0,95.0,69,642,38.541304347826085,26,34,0.1159420289855072,0
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,0,0,2024-11,2024Q4,29407,2262.076923076923,10945,13,18.23076923076923,0,1,0.1538461538461538,2.0,50.5,3.0,0.0,118.0,70,658,41.245714285714286,49,32,0.1142857142857142,0
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,0,0,2023-09,2023Q3,27746,3468.25,14129,8,293.125,1,0,0.125,2.0,24.5,4.0,0.0,30.5,54,531,52.72407407407408,42,31,0.1296296296296296,0
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,0,0,2024-12,2024Q4,13266,1895.142857142857,8358,7,11.857142857142858,0,0,0.0,6.0,50.16666666666666,4.25,1.0,94.83333333333331,37,367,47.86441441441441,13,25,0.081081081081081,0
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,0,0,2023-08,2023Q3,11858,1976.3333333333333,7363,6,243.0,0,0,0.0,6.0,41.66666666666666,3.5,0.0,79.16666666666667,46,494,48.3909420289855,19,29,0.1304347826086956,0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,0,1,2023-03,2023Q1,14646,1627.3333333333333,3582,9,233.22222222222223,0,1,0.1111111111111111,5.0,36.0,3.6,0.0,59.0,43,427,53.1953488372093,18,28,0.2093023255813953,1
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,1,0,2023-11,2023Q4,9299,1162.375,4378,8,225.625,1,0,0.25,3.0,26.0,4.0,1.0,108.66666666666669,49,511,53.64319727891157,25,31,0.1224489795918367,0
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,0,0,2024-04,2024Q2,11844,846.0,2786,14,127.85714285714286,1,1,0.1428571428571428,4.0,14.25,4.666666666666667,1.0,97.75,66,653,48.446717171717175,44,34,0.2272727272727272,0
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,0,0,2024-07,2024Q3,5175,646.875,2388,8,62.25,1,1,0.0,9.0,31.33333333333333,4.0,1.0,81.88888888888889,35,337,46.84904761904762,20,24,0.1428571428571428,0
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,0,1,2024-08,2024Q3,36445,2603.214285714286,15522,14,76.42857142857143,1,0,0.2142857142857142,3.0,31.33333333333333,3.333333333333333,0.0,76.66666666666667,69,687,50.33502415458938,37,32,0.1159420289855072,1
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,0,1,2024-05,2024Q2,75938,9492.25,17114,8,173.625,0,0,0.125,3.0,57.66666666666666,4.0,0.0,108.33333333333331,42,402,50.56865079365079,22,28,0.238095238095238,1
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,0,0,2024-10,2024Q4,3613,516.1428571428571,1617,7,58.42857142857143,0,1,0.4285714285714285,,,,,,32,324,51.10052083333333,20,23,0.0625,0
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,0,1,2023-03,2023Q1,10162,1129.111111111111,5174,9,257.44444444444446,1,0,0.1111111111111111,5.0,34.0,4.5,0.0,59.6,47,488,53.44255319148937,19,27,0.0425531914893617,1
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,1,0,2023-09,2023Q3,14121,1569.0,7761,9,214.22222222222223,0,1,0.1111111111111111,2.0,33.0,,0.0,120.5,58,602,49.24310344827586,31,30,0.1206896551724138,0
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,0,1,2023-04,2023Q2,32433,2027.0625,9751,16,257.8125,1,0,0.1875,4.0,49.75,5.0,0.0,119.0,72,791,54.87384259259259,37,29,0.0972222222222222,1
