subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,tenure_days
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,Enterprise,14,2786,33432,False,False,False,True,monthly,True,111
S-0f6f44,A-9b9fe9,2024-06-11,,Pro,17,833,9996,False,False,False,False,monthly,True,204
S-51c0d1,A-659280,2024-11-25,,Enterprise,62,0,0,True,True,False,False,annual,False,37
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,Enterprise,5,995,11940,False,False,False,True,monthly,True,20
S-cff5a2,A-ba6516,2024-01-10,,Enterprise,27,5373,64476,False,False,False,False,monthly,True,357
S-4b9b13,A-fa2041,2024-08-13,,Pro,15,735,8820,False,False,False,False,monthly,True,141
S-dceac6,A-417d2f,2023-12-30,,Enterprise,4,796,9552,False,False,False,False,annual,True,368
S-8cad7b,A-5f2961,2024-12-23,,Basic,16,304,3648,False,False,False,False,annual,True,9
S-24796e,A-cc8c8f,2024-11-27,,Enterprise,23,4577,54924,False,False,False,False,annual,False,35
S-d0c344,A-80eeb6,2024-10-27,,Pro,22,1078,12936,False,False,False,False,annual,False,66
S-477506,A-f03140,2024-02-06,,Pro,27,1323,15876,False,False,False,False,annual,True,330
S-79a9e1,A-3a5ad8,2024-12-25,,Enterprise,22,0,0,True,False,False,False,annual,True,7
S-59dc4b,A-f17767,2023-09-17,,Pro,26,1274,15288,False,True,True,False,monthly,True,472
S-7acd8b,A-7920cc,2024-07-17,,Basic,39,741,8892,False,False,False,False,annual,True,168
S-428e9a,A-8ae3fc,2024-10-12,,Enterprise,88,0,0,True,False,False,False,monthly,True,81
S-486088,A-0cc442,2024-09-18,,Pro,45,2205,26460,False,False,False,False,monthly,True,105
S-13939b,A-86902e,2023-07-21,2024-08-03,Pro,34,0,0,True,False,False,True,monthly,True,379
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,False,False,False,True,annual,False,68
